record_id,title,included_in_final_corpus,reason,story_words,materials_words
/2020601/https___1914_1918_europeana_eu_contributions_10005,Hubert Strang vom Palästinakorps auf seinem Weg nach Jerusalem und zurück nach Wilhelmshaven | Hubert Strang of Palestinecorps on his way to Jerusalem and back to Wilhelmshaven,True,Meets minimum narrative length,165,50
/2020601/https___1914_1918_europeana_eu_contributions_10022,FRAD033-090 Histoire d'Alphonse et Paul Gueytat | Documents from Alphonse et Paul Gueytat,True,Meets minimum narrative length,93,20
/2020601/https___1914_1918_europeana_eu_contributions_10031,FRAD017 - Histoire de la famille Lebrun | Famille Lebrun,True,Meets minimum narrative length,100,24
/2020601/https___1914_1918_europeana_eu_contributions_10036,FRAD087_052-Histoire d'Antoine Malaty | Story of Antoine Malaty,True,Meets minimum narrative length,187,33
/2020601/https___1914_1918_europeana_eu_contributions_10057,"Hermann Staratzkys Kriegstagebuch ""Der Große Krieg"" | War diary of Hermann Staratzky ""The Great War""",True,Meets minimum narrative length,134,16
/2020601/https___1914_1918_europeana_eu_contributions_10061,"ACA4640172_43_BOUDET_01 - Félix Boudet, officier et artiste | Félix Boudet, Officer and Artist",True,Meets minimum narrative length,113,11
/2020601/https___1914_1918_europeana_eu_contributions_10083,"FRBNBU-103 Georges Kohn photographe des "" chevaliers du ciel "" | Documents from Beilin family",True,Meets minimum narrative length,93,9
/2020601/https___1914_1918_europeana_eu_contributions_10095,FRAD017_110_Georges Pissard | Georges Pissard,True,Meets minimum narrative length,132,29
/2020601/https___1914_1918_europeana_eu_contributions_10104,FRBNBU-158 Constant Brun prisonnier en Allemagne | Constant Brun in Germany,True,Meets minimum narrative length,75,19
/2020601/https___1914_1918_europeana_eu_contributions_10118,FRAD087_007-Correspondance et carnet d'Alphonse Faure | Story of Alphonse Faure,True,Meets minimum narrative length,202,18
/2020601/https___1914_1918_europeana_eu_contributions_10125,"Henri-Louis Cadot, Mémoire transmise | Henri-Louis Cadot, memory transmitted",True,Meets minimum narrative length,441,25
/2020601/https___1914_1918_europeana_eu_contributions_10127,"Sanitätsmaterial, Auszeichnungen | Der Sanitätsfeldwebel Johannes Kühn an der Westfront",True,Meets minimum narrative length,81,9
/2020601/https___1914_1918_europeana_eu_contributions_10135,"FRAD067-123/2 Second album de Nicolas Hiessler (1884-1952), infirmier en Flandre et en Artois (armée allemande) | Album from Nicolas Hiessler, with photographs from the Western Front",True,Meets minimum narrative length,314,8
/2020601/https___1914_1918_europeana_eu_contributions_10138,"FRAD071-002 Claude BERNARD, du front à l'hôpital | Documents from Claude Bernard",True,Meets minimum narrative length,149,10
/2020601/https___1914_1918_europeana_eu_contributions_10145,"FRAD067-120 Regrets d'un membre du peloton d'exécution, Villers-en-Haye (Meurthe-et-Moselle), 7 février 1915 | Postcard about an execution",True,Meets minimum narrative length,143,2
/2020601/https___1914_1918_europeana_eu_contributions_10147,"FRAD067-122 Auguste Gresset annonce à ses proches la mort à son poste de combat du Franc-Comtois Alexis Antoine Billot, le 4 juillet 1915 | About the death of Alexis Antoine Billot",True,Meets minimum narrative length,98,46
