record_id,title,included_in_validated_candidate_corpus,exclusion_reason,description_segments_total,narrative_segments,materials_segments,ambiguous_segments,has_narrative_document,has_materials_document,baseline_description_words
/2020601/https___1914_1918_europeana_eu_contributions_10005,Hubert Strang vom Palästinakorps auf seinem Weg nach Jerusalem und zurück nach Wilhelmshaven | Hubert Strang of Palestinecorps on his way to Jerusalem and back to Wilhelmshaven,True,,2,1,1,0,True,True,215
/2020601/https___1914_1918_europeana_eu_contributions_10022,FRAD033-090 Histoire d'Alphonse et Paul Gueytat | Documents from Alphonse et Paul Gueytat,True,,2,1,1,0,True,True,113
/2020601/https___1914_1918_europeana_eu_contributions_10031,FRAD017 - Histoire de la famille Lebrun | Famille Lebrun,True,,2,1,1,0,True,True,124
/2020601/https___1914_1918_europeana_eu_contributions_10036,FRAD087_052-Histoire d'Antoine Malaty | Story of Antoine Malaty,True,,2,0,2,0,False,True,220
/2020601/https___1914_1918_europeana_eu_contributions_10057,"Hermann Staratzkys Kriegstagebuch ""Der Große Krieg"" | War diary of Hermann Staratzky ""The Great War""",True,,2,1,1,1,True,True,150
/2020601/https___1914_1918_europeana_eu_contributions_10061,"ACA4640172_43_BOUDET_01 - Félix Boudet, officier et artiste | Félix Boudet, Officer and Artist",True,,2,2,0,1,True,False,124
/2020601/https___1914_1918_europeana_eu_contributions_10083,"FRBNBU-103 Georges Kohn photographe des "" chevaliers du ciel "" | Documents from Beilin family",True,,2,0,2,0,False,True,102
/2020601/https___1914_1918_europeana_eu_contributions_10095,FRAD017_110_Georges Pissard | Georges Pissard,True,,2,1,1,1,True,True,161
/2020601/https___1914_1918_europeana_eu_contributions_10104,FRBNBU-158 Constant Brun prisonnier en Allemagne | Constant Brun in Germany,True,,2,1,1,0,True,True,94
/2020601/https___1914_1918_europeana_eu_contributions_10118,FRAD087_007-Correspondance et carnet d'Alphonse Faure | Story of Alphonse Faure,True,,2,0,2,0,False,True,220
/2020601/https___1914_1918_europeana_eu_contributions_10125,"Henri-Louis Cadot, Mémoire transmise | Henri-Louis Cadot, memory transmitted",True,,2,1,1,0,True,True,466
/2020601/https___1914_1918_europeana_eu_contributions_10127,"Sanitätsmaterial, Auszeichnungen | Der Sanitätsfeldwebel Johannes Kühn an der Westfront",True,,2,1,1,0,True,True,90
/2020601/https___1914_1918_europeana_eu_contributions_10135,"FRAD067-123/2 Second album de Nicolas Hiessler (1884-1952), infirmier en Flandre et en Artois (armée allemande) | Album from Nicolas Hiessler, with photographs from the Western Front",True,,2,0,2,1,False,True,322
/2020601/https___1914_1918_europeana_eu_contributions_10138,"FRAD071-002 Claude BERNARD, du front à l'hôpital | Documents from Claude Bernard",True,,2,1,1,0,True,True,159
/2020601/https___1914_1918_europeana_eu_contributions_10145,"FRAD067-120 Regrets d'un membre du peloton d'exécution, Villers-en-Haye (Meurthe-et-Moselle), 7 février 1915 | Postcard about an execution",True,,2,0,2,0,False,True,145
/2020601/https___1914_1918_europeana_eu_contributions_10147,"FRAD067-122 Auguste Gresset annonce à ses proches la mort à son poste de combat du Franc-Comtois Alexis Antoine Billot, le 4 juillet 1915 | About the death of Alexis Antoine Billot",True,,2,1,1,0,True,True,144
/2020601/https___1914_1918_europeana_eu_contributions_10151,"FRAD033-080 Histoire de René, Laurent Hueber | Documents from René, Laurent Hueber",True,,2,1,1,0,True,True,160
/2020601/https___1914_1918_europeana_eu_contributions_10154,FRAD033-084 Histoire de Joseph Piquemal | Documents from Joseph Piquemal,True,,2,1,1,0,True,True,189
